108289 tasks across 16 producers -> topic quotes @ b-1.cbquotesrtmsk.3tt8fa.c2.kafka.eu-west-2.amazonaws.com:9092,b-2.cbquotesrtmsk.3tt8fa.c2.kafka.eu-west-2.amazonaws.com:9092,b-3.cbquotesrtmsk.3tt8fa.c2.kafka.eu-west-2.amazonaws.com:9092
  t=    15.1s  rows=16,352,250  +16,352,250  inst=1,090,150/s  avg=1,084,136/s
  t=    30.1s  rows=31,396,320  +15,044,070  inst=1,002,938/s  avg=1,043,643/s
  t=    45.1s  rows=46,309,572  +14,913,252  inst=994,217/s  avg=1,027,195/s
  t=    60.1s  rows=61,353,642  +15,044,070  inst=1,002,938/s  avg=1,021,136/s
  t=    75.1s  rows=76,266,894  +14,913,252  inst=994,217/s  avg=1,015,757/s
  t=    90.1s  rows=91,310,964  +15,044,070  inst=1,002,938/s  avg=1,013,621/s
  t=   105.1s  rows=106,355,034  +15,044,070  inst=1,002,938/s  avg=1,012,094/s
  t=   120.1s  rows=121,268,286  +14,913,252  inst=994,217/s  avg=1,009,860/s
  t=   135.1s  rows=136,312,356  +15,044,070  inst=1,002,938/s  avg=1,009,090/s
  t=   150.1s  rows=151,225,608  +14,913,252  inst=994,217/s  avg=1,007,603/s
  t=   165.1s  rows=166,269,678  +15,044,070  inst=1,002,938/s  avg=1,007,178/s
  t=   180.1s  rows=181,313,748  +15,044,070  inst=1,002,938/s  avg=1,006,824/s
  t=   195.1s  rows=196,357,818  +15,044,070  inst=1,002,938/s  avg=1,006,525/s
  t=   210.1s  rows=211,271,070  +14,913,252  inst=994,217/s  avg=1,005,645/s
  t=   225.1s  rows=226,315,140  +15,044,070  inst=1,002,938/s  avg=1,005,464/s
  t=   240.1s  rows=241,359,210  +15,044,070  inst=1,002,938/s  avg=1,005,306/s
  t=   255.1s  rows=256,272,462  +14,913,252  inst=994,217/s  avg=1,004,653/s
  t=   270.1s  rows=271,316,532  +15,044,070  inst=1,002,938/s  avg=1,004,557/s
  t=   285.1s  rows=286,229,784  +14,913,252  inst=994,217/s  avg=1,004,013/s
  t=   300.1s  rows=301,273,854  +15,044,070  inst=1,002,938/s  avg=1,003,959/s
  t=   315.1s  rows=316,317,924  +15,044,070  inst=1,002,938/s  avg=1,003,909/s
  t=   330.1s  rows=331,361,994  +15,044,070  inst=1,002,938/s  avg=1,003,865/s
