metastore_name,catalog_name,schema_name,table_name,operation_id,operation_type,operation_status,start_time,end_time,usage_unit,estimated_dbu,operation_metrics
<metastore-name>,costbench,rt_full_serverless_baseline_r3_20260918,quotes_daily,predictive-operation-001,ANALYZE,SUCCESSFUL,2026-09-18T18:08:26.240Z,2026-09-18T18:08:27.023Z,ESTIMATED_DBU,0.003850426071963021,"{""amount_of_scanned_bytes"":""2250815"",""number_of_scanned_files"":""1"",""staleness_percentage_reduced"":""100""}"
<metastore-name>,costbench,rt_full_serverless_baseline_r3_20260918,quotes,predictive-operation-002,ANALYZE,SUCCESSFUL,2026-09-18T18:08:28.910Z,2026-09-18T18:09:54.953Z,ESTIMATED_DBU,0.423119042796825300,"{""amount_of_scanned_bytes"":""23351937778"",""number_of_scanned_files"":""734"",""staleness_percentage_reduced"":""100""}"
<metastore-name>,costbench,rt_full_serverless_baseline_r3_20260918,quotes,predictive-operation-003,CLUSTERING,SUCCESSFUL,2026-09-18T18:12:31.256Z,2026-09-18T18:25:50.593Z,ESTIMATED_DBU,4.402446913333334000,"{""number_of_removed_files"":""915"",""number_of_clustered_files"":""477"",""amount_of_data_removed_bytes"":""29149309984"",""amount_of_clustered_data_bytes"":""26994492817""}"
<metastore-name>,costbench,rt_full_serverless_baseline_r3_20260918,quotes,predictive-operation-004,CLUSTERING,SUCCESSFUL,2026-09-18T22:39:28.812Z,2026-09-18T23:02:42.961Z,ESTIMATED_DBU,24.988888520000000000,"{""number_of_removed_files"":""4439"",""number_of_clustered_files"":""4274"",""amount_of_data_removed_bytes"":""269238046522"",""amount_of_clustered_data_bytes"":""317207281404""}"
<metastore-name>,costbench,rt_full_serverless_baseline_r3_20260918,quotes_daily,predictive-operation-005,CLUSTERING,SUCCESSFUL,2026-09-19T03:39:35.086Z,2026-09-19T03:39:52.295Z,ESTIMATED_DBU,0.315890972198273800,"{""number_of_removed_files"":""4"",""number_of_clustered_files"":""1"",""amount_of_data_removed_bytes"":""25380240"",""amount_of_clustered_data_bytes"":""22798576""}"
<metastore-name>,costbench,rt_full_serverless_baseline_r3_20260918,quotes,predictive-operation-006,CLUSTERING,SUCCESSFUL,2026-09-19T03:39:56.603Z,2026-09-19T03:57:05.276Z,ESTIMATED_DBU,18.882475102801727000,"{""number_of_removed_files"":""3596"",""number_of_clustered_files"":""2000"",""amount_of_data_removed_bytes"":""133966273581"",""amount_of_clustered_data_bytes"":""145497616557""}"
<metastore-name>,costbench,rt_full_serverless_baseline_r3_20260918,quotes_daily,predictive-operation-007,CLUSTERING,SUCCESSFUL,2026-09-19T08:11:17.606Z,2026-09-19T08:11:33.405Z,ESTIMATED_DBU,0.329653282424341660,"{""number_of_removed_files"":""3"",""number_of_clustered_files"":""1"",""amount_of_data_removed_bytes"":""34004475"",""amount_of_clustered_data_bytes"":""32014286""}"
<metastore-name>,costbench,rt_full_serverless_baseline_r3_20260918,quotes,predictive-operation-008,CLUSTERING,SUCCESSFUL,2026-09-19T08:11:37.860Z,2026-09-19T08:37:22.640Z,ESTIMATED_DBU,32.232533554242330000,"{""number_of_removed_files"":""5328"",""number_of_clustered_files"":""4681"",""amount_of_data_removed_bytes"":""276499979984"",""amount_of_clustered_data_bytes"":""267422169692""}"
<metastore-name>,costbench,rt_full_serverless_baseline_r3_20260918,quotes_daily,predictive-operation-009,CLUSTERING,SUCCESSFUL,2026-09-19T13:11:57.346Z,2026-09-19T13:12:12.036Z,ESTIMATED_DBU,0.300876639921395130,"{""number_of_removed_files"":""3"",""number_of_clustered_files"":""1"",""amount_of_data_removed_bytes"":""44078922"",""amount_of_clustered_data_bytes"":""41943376""}"
<metastore-name>,costbench,rt_full_serverless_baseline_r3_20260918,quotes,predictive-operation-010,CLUSTERING,SUCCESSFUL,2026-09-19T13:12:16.482Z,2026-09-19T13:31:24.061Z,ESTIMATED_DBU,23.504405280078604000,"{""number_of_removed_files"":""4299"",""number_of_clustered_files"":""3054"",""amount_of_data_removed_bytes"":""176794584575"",""amount_of_clustered_data_bytes"":""157791579022""}"
<metastore-name>,costbench,rt_full_serverless_baseline_r3_20260918,quotes,predictive-operation-011,CLUSTERING,SUCCESSFUL,2026-09-19T18:09:30.144Z,2026-09-19T18:26:58.023Z,ESTIMATED_DBU,26.533541081666666000,"{""number_of_removed_files"":""3916"",""number_of_clustered_files"":""2481"",""amount_of_data_removed_bytes"":""142872069851"",""amount_of_clustered_data_bytes"":""125249697405""}"
<metastore-name>,costbench,rt_full_serverless_baseline_r3_20260918,quotes_daily,predictive-operation-012,CLUSTERING,SUCCESSFUL,2026-09-19T19:12:20.196Z,2026-09-19T19:12:34.289Z,ESTIMATED_DBU,0.147797944999999960,"{""number_of_removed_files"":""3"",""number_of_clustered_files"":""1"",""amount_of_data_removed_bytes"":""14226315"",""amount_of_clustered_data_bytes"":""12854402""}"
<metastore-name>,costbench,rt_full_serverless_baseline_r3_20260918,quotes,predictive-operation-013,CLUSTERING,SUCCESSFUL,2026-09-19T22:39:32.372Z,2026-09-19T22:57:24.884Z,ESTIMATED_DBU,19.642641795000000000,"{""number_of_removed_files"":""3482"",""number_of_clustered_files"":""2231"",""amount_of_data_removed_bytes"":""126296032157"",""amount_of_clustered_data_bytes"":""108366869957""}"
<metastore-name>,costbench,rt_full_serverless_baseline_r3_20260918,quotes_daily,predictive-operation-014,CLUSTERING,SUCCESSFUL,2026-09-19T23:39:50.823Z,2026-09-19T23:40:05.709Z,ESTIMATED_DBU,0.153180498333333400,"{""number_of_removed_files"":""3"",""number_of_clustered_files"":""1"",""amount_of_data_removed_bytes"":""24818725"",""amount_of_clustered_data_bytes"":""22789394""}"
