WAREHOUSE_NAME,QUERY_ID,START_TIME,REMOTE_READ_PCT,ELAPSED_MS,EXEC_MS,BYTES_SCANNED,FRAC_FROM_CACHE
SNOWPIPES_IT_READ_SMALL,01c63b89-0003-c72a-0003-a22e01c722a2,2026-08-07 08:05:27.929 -0700,44.444444444,432,163,33566336,0.8943360395
SNOWPIPES_IT_READ_SMALL,01c63b89-0003-c72a-0003-a22e01c722c2,2026-08-07 08:05:29.410 -0700,40,349,124,40215080,0.8338438218
SNOWPIPES_IT_READ_SMALL,01c63bc5-0003-c72a-0003-a22e01c72586,2026-08-07 09:05:32.062 -0700,20,628,276,200744880,0.9944215763
SNOWPIPES_IT_READ_SMALL,01c63bc5-0003-c72a-0003-a22e01c725be,2026-08-07 09:05:49.794 -0700,20,647,280,178402880,0.9915047111
SNOWPIPES_IT_READ_SMALL,01c63c01-0003-c72a-0003-a22e01c72872,2026-08-07 10:05:34.951 -0700,15.384615385,686,268,121267328,0.9739571734
SNOWPIPES_IT_READ_SMALL,01c63c02-0003-c72a-0003-a22e01c728aa,2026-08-07 10:06:08.268 -0700,22.222222222,720,313,161689248,0.9839888426
SNOWPIPES_IT_READ_SMALL,01c63c3d-0003-c72a-0003-a22e01c72b6e,2026-08-07 11:05:42.514 -0700,,376,273,181640928,0.968902339
SNOWPIPES_IT_READ_SMALL,01c63c3e-0003-c72a-0003-a22e01c72b8a,2026-08-07 11:06:00.179 -0700,4.761904762,874,504,169734272,0.9821416856
SNOWPIPES_IT_READ_SMALL,01c63c79-0003-c72a-0003-a22e01c72e4e,2026-08-07 12:05:30.361 -0700,14.814814815,877,392,136441472,0.9766133277
SNOWPIPES_IT_READ_SMALL,01c63c79-0003-c72a-0003-a22e01c72e72,2026-08-07 12:05:59.781 -0700,,1190,565,124155392,1
SNOWPIPES_IT_READ_SMALL,01c63cb5-0003-c72a-0003-a22e01db413e,2026-08-07 13:05:35.471 -0700,,638,427,199145472,0.999832886
SNOWPIPES_IT_READ_SMALL,01c63cb6-0003-c72a-0003-a22e01db415e,2026-08-07 13:06:20.227 -0700,,1516,845,199470592,1
SNOWPIPES_IT_READ_SMALL,01c63cf2-0003-c72a-0003-a22e01db445e,2026-08-07 14:06:43.729 -0700,17.948717949,691,368,261356288,0.9763537505
SNOWPIPES_IT_READ_SMALL,01c63cf3-0003-c72a-0003-a22e01db446e,2026-08-07 14:07:13.310 -0700,3.225806452,763,410,252060224,0.9937353384
SNOWPIPES_IT_READ_SMALL,01c63d2d-0003-c72a-0003-a22e01db471e,2026-08-07 15:05:58.000 -0700,11.111111111,530,373,216390848,0.9817352719
SNOWPIPES_IT_READ_SMALL,01c63d2e-0003-c72a-0003-a22e01db473e,2026-08-07 15:06:31.571 -0700,1.886792453,948,566,268516896,0.9942929178
SNOWPIPES_IT_READ_SMALL,01c63d69-0003-c72a-0003-a22e01db4a02,2026-08-07 16:05:47.152 -0700,,842,522,265729024,1
SNOWPIPES_IT_READ_SMALL,01c63d6a-0003-c72a-0003-a22e01db4a42,2026-08-07 16:06:16.653 -0700,2.040816327,886,418,242128928,0.9968026291
SNOWPIPES_IT_READ_SMALL,01c63da5-0003-c72a-0003-a22e01db4cea,2026-08-07 17:05:50.813 -0700,,844,472,260640256,1
