SERVICE_TYPE,START_TIME,END_TIME,ENTITY_ID,ENTITY_TYPE,NAME,DATABASE_ID,DATABASE_NAME,SCHEMA_ID,SCHEMA_NAME,CREDITS_USED_COMPUTE,CREDITS_USED_CLOUD_SERVICES,CREDITS_USED,BYTES,ROWS,FILES,PIPE_ID,PIPE_NAME,PIPE_SCHEMA_ID,PIPE_SCHEMA,PIPE_CATALOG_ID,PIPE_CATALOG,IS_AUTOINGEST_ENABLED,NOTIFICATION_CHANNEL_NAME,PIPE_OWNER,DEFINITION,CREATED,LAST_ALTERED,COMMENT,PATTERN,DELETED,OWNER_ROLE_TYPE,IS_SNOWFLAKE_MANAGED
SNOWPIPE_STREAMING,2026-08-07 08:00:00.000 -0700,2026-08-07 09:00:00.000 -0700,253,PIPE,QUOTES_IT_PIPE,41,BENCH2COST,861,STOCKHOUSE_T2_RUN12,0.438698153,0.000000000,0.438698153,127306485673,,,253,QUOTES_IT_PIPE,861,STOCKHOUSE_T2_RUN12,41,BENCH2COST,YES,,ACCOUNTADMIN,"COPY INTO QUOTES_IT (sym, bx, bp, bs, ax, ap, ""AS"", c, i, t, q, z) FROM ( SELECT $1:sym::VARCHAR, $1:bx::NUMBER(3,0), $1:bp::FLOAT, $1:bs::NUMBER(20,0), $1:ax::NUMBER(3,0), $1:ap::FLOAT, $1:""as""::NUMBER(20,0), $1:c::NUMBER(3,0), $1:i::ARRAY, $1:t::NUMBER(20,0), $1:q::NUMBER(20,0), $1:z::NUMBER(3,0) FROM TABLE(DATA_SOURCE(TYPE => 'STREAMING')) )",2026-08-07 08:04:32.887 -0700,2026-08-07 08:04:32.887 -0700,,,,ROLE,FALSE
SNOWPIPE_STREAMING,2026-08-07 09:00:00.000 -0700,2026-08-07 10:00:00.000 -0700,253,PIPE,QUOTES_IT_PIPE,41,BENCH2COST,861,STOCKHOUSE_T2_RUN12,0.477440131,0.000000000,0.477440131,138549080347,,,253,QUOTES_IT_PIPE,861,STOCKHOUSE_T2_RUN12,41,BENCH2COST,YES,,ACCOUNTADMIN,"COPY INTO QUOTES_IT (sym, bx, bp, bs, ax, ap, ""AS"", c, i, t, q, z) FROM ( SELECT $1:sym::VARCHAR, $1:bx::NUMBER(3,0), $1:bp::FLOAT, $1:bs::NUMBER(20,0), $1:ax::NUMBER(3,0), $1:ap::FLOAT, $1:""as""::NUMBER(20,0), $1:c::NUMBER(3,0), $1:i::ARRAY, $1:t::NUMBER(20,0), $1:q::NUMBER(20,0), $1:z::NUMBER(3,0) FROM TABLE(DATA_SOURCE(TYPE => 'STREAMING')) )",2026-08-07 08:04:32.887 -0700,2026-08-07 08:04:32.887 -0700,,,,ROLE,FALSE
SNOWPIPE_STREAMING,2026-08-07 10:00:00.000 -0700,2026-08-07 11:00:00.000 -0700,253,PIPE,QUOTES_IT_PIPE,41,BENCH2COST,861,STOCKHOUSE_T2_RUN12,0.488523309,0.000000000,0.488523309,141765325972,,,253,QUOTES_IT_PIPE,861,STOCKHOUSE_T2_RUN12,41,BENCH2COST,YES,,ACCOUNTADMIN,"COPY INTO QUOTES_IT (sym, bx, bp, bs, ax, ap, ""AS"", c, i, t, q, z) FROM ( SELECT $1:sym::VARCHAR, $1:bx::NUMBER(3,0), $1:bp::FLOAT, $1:bs::NUMBER(20,0), $1:ax::NUMBER(3,0), $1:ap::FLOAT, $1:""as""::NUMBER(20,0), $1:c::NUMBER(3,0), $1:i::ARRAY, $1:t::NUMBER(20,0), $1:q::NUMBER(20,0), $1:z::NUMBER(3,0) FROM TABLE(DATA_SOURCE(TYPE => 'STREAMING')) )",2026-08-07 08:04:32.887 -0700,2026-08-07 08:04:32.887 -0700,,,,ROLE,FALSE
SNOWPIPE_STREAMING,2026-08-07 11:00:00.000 -0700,2026-08-07 12:00:00.000 -0700,253,PIPE,QUOTES_IT_PIPE,41,BENCH2COST,861,STOCKHOUSE_T2_RUN12,0.512764070,0.000000000,0.512764070,148799788078,,,253,QUOTES_IT_PIPE,861,STOCKHOUSE_T2_RUN12,41,BENCH2COST,YES,,ACCOUNTADMIN,"COPY INTO QUOTES_IT (sym, bx, bp, bs, ax, ap, ""AS"", c, i, t, q, z) FROM ( SELECT $1:sym::VARCHAR, $1:bx::NUMBER(3,0), $1:bp::FLOAT, $1:bs::NUMBER(20,0), $1:ax::NUMBER(3,0), $1:ap::FLOAT, $1:""as""::NUMBER(20,0), $1:c::NUMBER(3,0), $1:i::ARRAY, $1:t::NUMBER(20,0), $1:q::NUMBER(20,0), $1:z::NUMBER(3,0) FROM TABLE(DATA_SOURCE(TYPE => 'STREAMING')) )",2026-08-07 08:04:32.887 -0700,2026-08-07 08:04:32.887 -0700,,,,ROLE,FALSE
SNOWPIPE_STREAMING,2026-08-07 12:00:00.000 -0700,2026-08-07 13:00:00.000 -0700,253,PIPE,QUOTES_IT_PIPE,41,BENCH2COST,861,STOCKHOUSE_T2_RUN12,0.513573351,0.000000000,0.513573351,149034635430,,,253,QUOTES_IT_PIPE,861,STOCKHOUSE_T2_RUN12,41,BENCH2COST,YES,,ACCOUNTADMIN,"COPY INTO QUOTES_IT (sym, bx, bp, bs, ax, ap, ""AS"", c, i, t, q, z) FROM ( SELECT $1:sym::VARCHAR, $1:bx::NUMBER(3,0), $1:bp::FLOAT, $1:bs::NUMBER(20,0), $1:ax::NUMBER(3,0), $1:ap::FLOAT, $1:""as""::NUMBER(20,0), $1:c::NUMBER(3,0), $1:i::ARRAY, $1:t::NUMBER(20,0), $1:q::NUMBER(20,0), $1:z::NUMBER(3,0) FROM TABLE(DATA_SOURCE(TYPE => 'STREAMING')) )",2026-08-07 08:04:32.887 -0700,2026-08-07 08:04:32.887 -0700,,,,ROLE,FALSE
SNOWPIPE_STREAMING,2026-08-07 13:00:00.000 -0700,2026-08-07 14:00:00.000 -0700,253,PIPE,QUOTES_IT_PIPE,41,BENCH2COST,861,STOCKHOUSE_T2_RUN12,0.513648960,0.000000000,0.513648960,149056575423,,,253,QUOTES_IT_PIPE,861,STOCKHOUSE_T2_RUN12,41,BENCH2COST,YES,,ACCOUNTADMIN,"COPY INTO QUOTES_IT (sym, bx, bp, bs, ax, ap, ""AS"", c, i, t, q, z) FROM ( SELECT $1:sym::VARCHAR, $1:bx::NUMBER(3,0), $1:bp::FLOAT, $1:bs::NUMBER(20,0), $1:ax::NUMBER(3,0), $1:ap::FLOAT, $1:""as""::NUMBER(20,0), $1:c::NUMBER(3,0), $1:i::ARRAY, $1:t::NUMBER(20,0), $1:q::NUMBER(20,0), $1:z::NUMBER(3,0) FROM TABLE(DATA_SOURCE(TYPE => 'STREAMING')) )",2026-08-07 08:04:32.887 -0700,2026-08-07 08:04:32.887 -0700,,,,ROLE,FALSE
SNOWPIPE_STREAMING,2026-08-07 14:00:00.000 -0700,2026-08-07 15:00:00.000 -0700,253,PIPE,QUOTES_IT_PIPE,41,BENCH2COST,861,STOCKHOUSE_T2_RUN12,0.513051352,0.000000000,0.513051352,148883155075,,,253,QUOTES_IT_PIPE,861,STOCKHOUSE_T2_RUN12,41,BENCH2COST,YES,,ACCOUNTADMIN,"COPY INTO QUOTES_IT (sym, bx, bp, bs, ax, ap, ""AS"", c, i, t, q, z) FROM ( SELECT $1:sym::VARCHAR, $1:bx::NUMBER(3,0), $1:bp::FLOAT, $1:bs::NUMBER(20,0), $1:ax::NUMBER(3,0), $1:ap::FLOAT, $1:""as""::NUMBER(20,0), $1:c::NUMBER(3,0), $1:i::ARRAY, $1:t::NUMBER(20,0), $1:q::NUMBER(20,0), $1:z::NUMBER(3,0) FROM TABLE(DATA_SOURCE(TYPE => 'STREAMING')) )",2026-08-07 08:04:32.887 -0700,2026-08-07 08:04:32.887 -0700,,,,ROLE,FALSE
SNOWPIPE_STREAMING,2026-08-07 15:00:00.000 -0700,2026-08-07 16:00:00.000 -0700,253,PIPE,QUOTES_IT_PIPE,41,BENCH2COST,861,STOCKHOUSE_T2_RUN12,0.512711335,0.000000000,0.512711335,148784486199,,,253,QUOTES_IT_PIPE,861,STOCKHOUSE_T2_RUN12,41,BENCH2COST,YES,,ACCOUNTADMIN,"COPY INTO QUOTES_IT (sym, bx, bp, bs, ax, ap, ""AS"", c, i, t, q, z) FROM ( SELECT $1:sym::VARCHAR, $1:bx::NUMBER(3,0), $1:bp::FLOAT, $1:bs::NUMBER(20,0), $1:ax::NUMBER(3,0), $1:ap::FLOAT, $1:""as""::NUMBER(20,0), $1:c::NUMBER(3,0), $1:i::ARRAY, $1:t::NUMBER(20,0), $1:q::NUMBER(20,0), $1:z::NUMBER(3,0) FROM TABLE(DATA_SOURCE(TYPE => 'STREAMING')) )",2026-08-07 08:04:32.887 -0700,2026-08-07 08:04:32.887 -0700,,,,ROLE,FALSE
SNOWPIPE_STREAMING,2026-08-07 16:00:00.000 -0700,2026-08-07 17:00:00.000 -0700,253,PIPE,QUOTES_IT_PIPE,41,BENCH2COST,861,STOCKHOUSE_T2_RUN12,0.512468746,0.000000000,0.512468746,148714087830,,,253,QUOTES_IT_PIPE,861,STOCKHOUSE_T2_RUN12,41,BENCH2COST,YES,,ACCOUNTADMIN,"COPY INTO QUOTES_IT (sym, bx, bp, bs, ax, ap, ""AS"", c, i, t, q, z) FROM ( SELECT $1:sym::VARCHAR, $1:bx::NUMBER(3,0), $1:bp::FLOAT, $1:bs::NUMBER(20,0), $1:ax::NUMBER(3,0), $1:ap::FLOAT, $1:""as""::NUMBER(20,0), $1:c::NUMBER(3,0), $1:i::ARRAY, $1:t::NUMBER(20,0), $1:q::NUMBER(20,0), $1:z::NUMBER(3,0) FROM TABLE(DATA_SOURCE(TYPE => 'STREAMING')) )",2026-08-07 08:04:32.887 -0700,2026-08-07 08:04:32.887 -0700,,,,ROLE,FALSE
SNOWPIPE_STREAMING,2026-08-07 17:00:00.000 -0700,2026-08-07 18:00:00.000 -0700,253,PIPE,QUOTES_IT_PIPE,41,BENCH2COST,861,STOCKHOUSE_T2_RUN12,0.512367787,0.000000000,0.512367787,148684789455,,,253,QUOTES_IT_PIPE,861,STOCKHOUSE_T2_RUN12,41,BENCH2COST,YES,,ACCOUNTADMIN,"COPY INTO QUOTES_IT (sym, bx, bp, bs, ax, ap, ""AS"", c, i, t, q, z) FROM ( SELECT $1:sym::VARCHAR, $1:bx::NUMBER(3,0), $1:bp::FLOAT, $1:bs::NUMBER(20,0), $1:ax::NUMBER(3,0), $1:ap::FLOAT, $1:""as""::NUMBER(20,0), $1:c::NUMBER(3,0), $1:i::ARRAY, $1:t::NUMBER(20,0), $1:q::NUMBER(20,0), $1:z::NUMBER(3,0) FROM TABLE(DATA_SOURCE(TYPE => 'STREAMING')) )",2026-08-07 08:04:32.887 -0700,2026-08-07 08:04:32.887 -0700,,,,ROLE,FALSE
