wrote profile.json
108289 tasks across 8 channels -> BENCH2COST.STOCKHOUSE_T2_RUN8 via pipe QUOTES_IT_PIPE
2026-07-20T12:14:43Z | INFO | core (219) | thread_unknown | Logger initialized with level: INFO, target: stdout
2026-07-20T12:14:43Z | INFO | core::util::process_info_provider (141) | thread_unknown | Running in Kubernetes pod: false
2026-07-20T12:14:43Z | INFO | core::util::process_info_provider (64) | thread_unknown | Initialized process_info_provider with refresh duration: 50 ms
2026-07-20T12:14:43Z | INFO | core (164) | thread_unknown | SDK execution environment initialized: language=python, version=3.12.13, shaded=false, sdk_id=38dace2b-d64d-4446-a20c-177ef9812ff6
2026-07-20T12:14:43Z | INFO | core::prod::metrics (88) | thread_unknown | Telemetry exporter initialized without Prometheus recorder
2026-07-20T12:14:43Z | INFO | core::bindings_python::python_ffi (36) | thread_unknown | Python FFI bootstrap complete with runtime version: 3.12.13, SDK version: v1.6.2
2026-07-20T12:14:43Z | INFO | core (219) | thread_unknown | Logger initialized with level: INFO, target: stdout
2026-07-20T12:14:43Z | INFO | core::util::process_info_provider (141) | thread_unknown | Running in Kubernetes pod: false
2026-07-20T12:14:43Z | INFO | core::util::process_info_provider (64) | thread_unknown | Initialized process_info_provider with refresh duration: 50 ms
2026-07-20T12:14:43Z | INFO | core (164) | thread_unknown | SDK execution environment initialized: language=python, version=3.12.13, shaded=false, sdk_id=c9d30074-4939-4804-88fe-f664a3f30f0f
2026-07-20T12:14:43Z | INFO | core::prod::metrics (88) | thread_unknown | Telemetry exporter initialized without Prometheus recorder
2026-07-20T12:14:43Z | INFO | core::bindings_python::python_ffi (36) | thread_unknown | Python FFI bootstrap complete with runtime version: 3.12.13, SDK version: v1.6.2
2026-07-20T12:14:43Z | INFO | core (219) | thread_unknown | Logger initialized with level: INFO, target: stdout
2026-07-20T12:14:43Z | INFO | core::util::process_info_provider (141) | thread_unknown | Running in Kubernetes pod: false
2026-07-20T12:14:43Z | INFO | core::util::process_info_provider (64) | thread_unknown | Initialized process_info_provider with refresh duration: 50 ms
