provider,base_table_rows,display_lag_minutes
snowflake,532996784.0,1.7812703100586056
snowflake,584236646.0650296,1.782943484084854
snowflake,635476508.1300591,1.7801334580049564
snowflake,686716370.1950886,1.7806391118803722
snowflake,737956232.2601182,1.7828550587087701
snowflake,789196094.3251479,1.784030552392296
snowflake,840435956.3901774,1.7837004064371025
snowflake,891675818.4552069,1.7822097172645195
snowflake,942915680.5202365,1.7842777405182697
snowflake,994155542.5852661,1.786788101694547
snowflake,1045395404.6502956,1.787728289430946
snowflake,1096635266.715325,1.7865203116741912
snowflake,1147875128.7803547,1.7875484194649878
snowflake,1199114990.8453841,1.7901212265110156
snowflake,1250354852.9104137,1.7911582994623616
snowflake,1301594714.9754434,1.790428644414079
snowflake,1352834577.040473,1.7896607524007284
snowflake,1404074439.1055026,1.7913782831424034
snowflake,1455314301.1705322,1.7925893301360576
snowflake,1506554163.2355616,1.7924845246283627
snowflake,1557794025.3005912,1.7907903848472735
snowflake,1609033887.3656209,1.792050445314005
snowflake,1660273749.4306502,1.7956814052203718
snowflake,1711513611.4956799,1.7987459667562318
snowflake,1762753473.5607095,1.7995941234813504
snowflake,1813993335.6257389,1.8011590973957579
snowflake,1865233197.6907685,1.8005608122666092
snowflake,1916473059.755798,1.799446609811911
snowflake,1967712921.8208277,1.7984064418754966
snowflake,2018952783.885857,1.7984032563630703
snowflake,2070192645.9508867,1.799429176096818
snowflake,2121432508.0159163,1.7993480260722008
snowflake,2172672370.080946,1.7989132029249106
snowflake,2223912232.145975,1.7982679828568193
snowflake,2275152094.211005,1.7979083253757986
snowflake,2326391956.2760344,1.7954337441734962
snowflake,2377631818.3410645,1.7928624409417282
snowflake,2428871680.4060936,1.792014225680176
snowflake,2480111542.471123,1.794852461565993
snowflake,2531351404.536153,1.7978002603080139
snowflake,2582591266.6011825,1.7976954463564134
snowflake,2633831128.666212,1.7963602344191774
snowflake,2685070990.7312417,1.7952087943342925
snowflake,2736310852.796271,1.7941277893146799
snowflake,2787550714.8613005,1.789197462513105
snowflake,2838790576.92633,1.782662847615915
snowflake,2890030438.9913597,1.7757887259098628
snowflake,2941270301.0563893,1.772929208583772
snowflake,2992510163.121419,1.7683870656157772
snowflake,3043750025.1864486,1.760892787898144
snowflake,3094989887.2514777,1.7529016002138065
snowflake,3146229749.3165073,1.7457229138286499
snowflake,3197469611.381537,1.7389325209503372
snowflake,3248709473.4465666,1.7293114332251354
snowflake,3299949335.511596,1.7187878398859926
snowflake,3351189197.576626,1.7122436285527083
snowflake,3402429059.6416554,1.7110107621556734
snowflake,3453668921.706685,1.7063760426576835
snowflake,3504908783.771714,1.7000634747380354
snowflake,3556148645.836744,1.6929101442836745
snowflake,3607388507.9017735,1.6909235821383453
snowflake,3658628369.966803,1.6887999617299632
snowflake,3709868232.0318327,1.6838836263592736
snowflake,3761108094.0968623,1.6808211366123644
snowflake,3812347956.161892,1.6812642550494556
snowflake,3863587818.2269216,1.684384877289656
snowflake,3914827680.2919507,1.6839547325187294
snowflake,3966067542.3569803,1.6817928278870318
snowflake,4017307404.42201,1.6797330219825533
snowflake,4068547266.4870396,1.6830676686004298
snowflake,4119787128.552069,1.682118905197684
snowflake,4171026990.617099,1.6794192316530416
snowflake,4222266852.6821284,1.6763979084793734
snowflake,4273506714.7471576,1.6734977596022529
snowflake,4324746576.812187,1.6680263446867674
snowflake,4375986438.877216,1.6595167232311352
snowflake,4427226300.942246,1.649893690541701
snowflake,4478466163.007277,1.6435729188344135
snowflake,4529706025.072306,1.6395287054064245
snowflake,4580945887.137335,1.631721767081516
snowflake,4632185749.202365,1.622890860046145
snowflake,4683425611.267394,1.6146185336489298
snowflake,4734665473.332424,1.6078995341180349
snowflake,4785905335.397453,1.5974369712072534
snowflake,4837145197.462483,1.5851614720883163
snowflake,4888385059.527513,1.5765981510590161
snowflake,4939624921.592542,1.57021386994144
snowflake,4990864783.657572,1.5613765169519378
snowflake,5042104645.722601,1.5498906755530586
snowflake,5093344507.787631,1.5378905268513179
snowflake,5144584369.85266,1.5267494806438924
snowflake,5195824231.91769,1.515215650070841
snowflake,5247064093.982719,1.4999847336975876
snowflake,5298303956.047749,1.4843931234477037
snowflake,5349543818.112779,1.4726907500577449
snowflake,5400783680.177808,1.4620917846645303
snowflake,5452023542.242838,1.4476506372360263
snowflake,5503263404.307867,1.4312578002520449
snowflake,5554503266.372897,1.4185022726916776
snowflake,5605743128.437926,1.4079907968854315
snowflake,5656982990.502955,1.3957892755115788
snowflake,5708222852.567986,1.3827411695476912
snowflake,5759462714.633015,1.370769099382784
snowflake,5810702576.698045,1.360464028733218
snowflake,5861942438.763074,1.3498155412214485
snowflake,5913182300.828104,1.3372568149558097
snowflake,5964422162.893133,1.3264697524319962
snowflake,6015662024.958163,1.3172371835947452
snowflake,6066901887.023192,1.3094398924060349
snowflake,6118141749.088222,1.3030036516323222
snowflake,6169381611.153252,1.2979010263961732
snowflake,6220621473.218281,1.2941712407071497
snowflake,6271861335.283311,1.2905821752745934
snowflake,6323101197.34834,1.2835063205863702
snowflake,6374341059.41337,1.278048273168186
snowflake,6425580921.478399,1.2752092156971642
snowflake,6476820783.543428,1.273086880585519
snowflake,6528060645.6084585,1.2704177746009364
snowflake,6579300507.673488,1.2674674937627368
snowflake,6630540369.738518,1.2667194577550647
snowflake,6681780231.803547,1.2670154210439986
snowflake,6733020093.868577,1.2629940552904912
snowflake,6784259955.933606,1.2537977014920523
snowflake,6835499817.998635,1.2483504749911534
snowflake,6886739680.063665,1.2444733629557474
snowflake,6937979542.128695,1.2409917445054353
snowflake,6989219404.193725,1.2337263527542919
snowflake,7040459266.258754,1.2256347732398725
snowflake,7091699128.323784,1.22022510051819
snowflake,7142938990.388813,1.2142559918342797
snowflake,7194178852.453843,1.203610895547219
snowflake,7245418714.518872,1.1907585068712667
snowflake,7296658576.583901,1.1821195287564288
snowflake,7347898438.6489315,1.1747765733326037
snowflake,7399138300.713961,1.167162128118055
snowflake,7450378162.778991,1.1539427988826216
snowflake,7501618024.84402,1.144278509896801
snowflake,7552857886.90905,1.1364778756841887
snowflake,7604097748.974079,1.1289326676029512
snowflake,7655337611.039108,1.1207991654237808
snowflake,7706577473.104138,1.1152739808244958
snowflake,7757817335.1691675,1.1125050562651375
snowflake,7809057197.234198,1.1106658425183003
snowflake,7860297059.299227,1.1074818582887427
snowflake,7911536921.364257,1.1000944290997676
snowflake,7962776783.429286,1.0969633793806197
snowflake,8014016645.494315,1.095464644949761
snowflake,8065256507.559345,1.0937534072793087
snowflake,8116496369.624374,1.0903413771081611
snowflake,8167736231.6894045,1.0907248430173533
snowflake,8218976093.754434,1.093059976966941
snowflake,8270215955.819464,1.0925338191995113
snowflake,8321455817.884493,1.0893515784410253
snowflake,8372695679.949523,1.088601470351029
snowflake,8423935542.014552,1.0902519926872984
snowflake,8475175404.079581,1.0928554283217673
snowflake,8526415266.144611,1.0945042019559716
snowflake,8577655128.2096405,1.095957120125902
snowflake,8628894990.27467,1.1015700500477492
snowflake,8680134852.339699,1.1072783183567196
snowflake,8731374714.40473,1.1091034382576375
snowflake,8782614576.469759,1.1096410990245142
snowflake,8833854438.534788,1.1141037561199991
snowflake,8885094300.59982,1.1203695626870276
snowflake,8936334162.664848,1.1227052008314842
snowflake,8987574024.729877,1.1229054704457555
snowflake,9038813886.794907,1.1248710383008855
snowflake,9090053748.859936,1.1276380838263684
snowflake,9141293610.924967,1.1289787948388545
snowflake,9192533472.989996,1.1287952359827802
snowflake,9243773335.055025,1.1294205636094012
snowflake,9295013197.120054,1.1323245644805275
snowflake,9346253059.185083,1.1347079866445124
snowflake,9397492921.250114,1.1354222202383293
snowflake,9448732783.315144,1.135594785145261
snowflake,9499972645.380173,1.1381354135448807
snowflake,9551212507.445202,1.140012478100392
snowflake,9602452369.510231,1.140827230642677
snowflake,9653692231.575262,1.142038616038362
snowflake,9704932093.640291,1.1474460109801705
snowflake,9756171955.70532,1.15090139835716
snowflake,9807411817.77035,1.152609600010792
snowflake,9858651679.83538,1.153756059508556
snowflake,9909891541.90041,1.1572953023308232
snowflake,9961131403.965439,1.1611086316812573
snowflake,10012371266.030468,1.1629279048892052
snowflake,10063611128.095497,1.1641974048674377
snowflake,10114850990.160528,1.1667829230203737
snowflake,10166090852.225557,1.1724707998252366
snowflake,10217330714.290586,1.175290501095049
snowflake,10268570576.355616,1.1767465742880103
snowflake,10319810438.420647,1.1781520566262906
snowflake,10371050300.485676,1.1835921784761454
snowflake,10422290162.550705,1.1864801390235329
snowflake,10473530024.615734,1.1879127932820313
snowflake,10524769886.680763,1.1892457415621187
snowflake,10576009748.745794,1.1940606079525977
