NAME,REFRESH_END_TIME,STALENESS_AT_DONE_SEC,DURATION_SEC,STATE
QUOTES_DAILY_IT,2026-06-19 04:36:17.778 -0700,1,1,SUCCEEDED
QUOTES_IT,2026-06-19 04:36:19.406 -0700,1,1,SUCCEEDED
QUOTES_DAILY_IT,2026-06-19 04:36:34.985 -0700,1,0,SUCCEEDED
QUOTES_DAILY_IT,2026-06-19 04:37:22.998 -0700,1,0,SUCCEEDED
QUOTES_DAILY_IT,2026-06-19 04:38:10.514 -0700,1,0,SUCCEEDED
QUOTES_IT,2026-06-19 04:38:10.543 -0700,1,0,SUCCEEDED
QUOTES_DAILY_IT,2026-06-19 04:39:02.195 -0700,5,4,SUCCEEDED
QUOTES_DAILY_IT,2026-06-19 04:39:48.269 -0700,3,2,SUCCEEDED
QUOTES_DAILY_IT,2026-06-19 04:40:37.485 -0700,4,3,SUCCEEDED
QUOTES_DAILY_IT,2026-06-19 04:41:24.869 -0700,3,2,SUCCEEDED
QUOTES_DAILY_IT,2026-06-19 04:42:13.043 -0700,4,3,SUCCEEDED
QUOTES_DAILY_IT,2026-06-19 04:43:02.493 -0700,5,4,SUCCEEDED
QUOTES_DAILY_IT,2026-06-19 04:43:50.118 -0700,5,4,SUCCEEDED
QUOTES_DAILY_IT,2026-06-19 04:44:39.273 -0700,6,5,SUCCEEDED
QUOTES_DAILY_IT,2026-06-19 04:45:26.549 -0700,5,4,SUCCEEDED
QUOTES_DAILY_IT,2026-06-19 04:46:15.370 -0700,6,5,SUCCEEDED
QUOTES_DAILY_IT,2026-06-19 04:47:03.562 -0700,6,5,SUCCEEDED
QUOTES_IT,2026-06-19 04:47:58.888 -0700,205,204,FAILED
QUOTES_DAILY_IT,2026-06-19 04:49:18.181 -0700,1,1,SUCCEEDED
QUOTES_IT,2026-06-19 04:49:19.259 -0700,1,1,SUCCEEDED
QUOTES_DAILY_IT,2026-06-19 04:49:22.942 -0700,1,0,SUCCEEDED
QUOTES_DAILY_IT,2026-06-19 04:50:32.380 -0700,1,1,SUCCEEDED
QUOTES_IT,2026-06-19 04:50:33.426 -0700,1,0,SUCCEEDED
QUOTES_IT,2026-06-19 04:50:58.935 -0700,1,0,SUCCEEDED
QUOTES_DAILY_IT,2026-06-19 04:50:58.935 -0700,1,0,SUCCEEDED
QUOTES_DAILY_IT,2026-06-19 04:51:48.145 -0700,3,2,SUCCEEDED
QUOTES_DAILY_IT,2026-06-19 04:52:37.042 -0700,4,3,SUCCEEDED
QUOTES_DAILY_IT,2026-06-19 04:53:24.947 -0700,3,2,SUCCEEDED
QUOTES_DAILY_IT,2026-06-19 04:54:13.218 -0700,4,3,SUCCEEDED
QUOTES_DAILY_IT,2026-06-19 04:55:01.433 -0700,4,3,SUCCEEDED
QUOTES_DAILY_IT,2026-06-19 04:55:49.978 -0700,4,3,SUCCEEDED
QUOTES_DAILY_IT,2026-06-19 04:56:38.490 -0700,5,4,SUCCEEDED
QUOTES_DAILY_IT,2026-06-19 04:57:26.786 -0700,5,4,SUCCEEDED
QUOTES_DAILY_IT,2026-06-19 04:58:14.987 -0700,5,4,SUCCEEDED
QUOTES_DAILY_IT,2026-06-19 04:59:03.403 -0700,6,5,SUCCEEDED
QUOTES_DAILY_IT,2026-06-19 04:59:51.402 -0700,6,5,SUCCEEDED
QUOTES_DAILY_IT,2026-06-19 05:00:39.557 -0700,6,5,SUCCEEDED
QUOTES_IT,2026-06-19 05:01:09.157 -0700,228,227,SUCCEEDED
QUOTES_DAILY_IT,2026-06-19 05:01:28.347 -0700,7,6,SUCCEEDED
QUOTES_DAILY_IT,2026-06-19 05:02:16.394 -0700,7,6,SUCCEEDED
QUOTES_DAILY_IT,2026-06-19 05:03:04.487 -0700,7,6,SUCCEEDED
QUOTES_DAILY_IT,2026-06-19 05:03:54.312 -0700,9,8,SUCCEEDED
QUOTES_DAILY_IT,2026-06-19 05:04:42.168 -0700,9,8,SUCCEEDED
QUOTES_DAILY_IT,2026-06-19 05:05:29.819 -0700,8,7,SUCCEEDED
QUOTES_DAILY_IT,2026-06-19 05:06:17.834 -0700,8,7,SUCCEEDED
QUOTES_DAILY_IT,2026-06-19 05:07:01.738 -0700,4,3,SUCCEEDED
QUOTES_IT,2026-06-19 05:07:48.645 -0700,243,242,SUCCEEDED
QUOTES_DAILY_IT,2026-06-19 05:07:49.725 -0700,4,3,SUCCEEDED
QUOTES_DAILY_IT,2026-06-19 05:08:38.663 -0700,5,4,SUCCEEDED
QUOTES_DAILY_IT,2026-06-19 05:09:26.634 -0700,5,4,SUCCEEDED
QUOTES_DAILY_IT,2026-06-19 05:10:15.352 -0700,6,5,SUCCEEDED
QUOTES_DAILY_IT,2026-06-19 05:11:04.470 -0700,7,6,SUCCEEDED
